Country,Subvector,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Trinidad and Tobago,Cropland Soil Health,20,0,80,0,80,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,1.6348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,Cropland Soil Health,20,0,80,0,80,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0.6222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,Cropland Soil Health,20,0,80,0,80,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0.8524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Cropland Soil Health,20,0,80,0,80,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Cropland Soil Health,20,0,80,0,80,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,1.7344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cropland Soil Health,20,0,80,0,80,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0.7793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,Cropland Soil Health,20,0,80,0,80,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Cropland Soil Health,20,0,80,0,80,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,2.4836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,Cropland Soil Health,20,0,80,0,80,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,1.1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,Cropland Soil Health,20,0,80,0,80,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,1.9266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,Cropland Soil Health,20,0,80,0,80,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0.9362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,Cropland Soil Health,20,0,80,0,80,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,2.1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,Cropland Soil Health,20,0,80,0,80,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,1.4986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,Cropland Soil Health,20,0,80,0,80,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,1.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,Cropland Soil Health,20,0,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,Cropland Soil Health,20,0,80,0,80,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0.9238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,Cropland Soil Health,20,0,80,0,80,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,1.6508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,Cropland Soil Health,20,0,80,0,80,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,1.1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,Improved Forest Mgmt,81,0,81,,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Improved Forest Mgmt,81,0,81,,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Improved Forest Mgmt,81,1.6224,81,1.6224,81,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224
Angola,Improved Forest Mgmt,81,2.6989,81,2.6989,81,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989
Argentina,Improved Forest Mgmt,81,0,81,,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,Improved Forest Mgmt,81,0,81,,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Improved Forest Mgmt,81,0,81,,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Improved Forest Mgmt,81,0,81,,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,Improved Forest Mgmt,81,0,81,,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,Improved Forest Mgmt,81,1.6224,81,1.6224,81,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224
Bangladesh,Improved Forest Mgmt,81,2.6989,81,2.6989,81,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989,2.6989
Belarus,Improved Forest Mgmt,81,0,81,,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Improved Forest Mgmt,81,0,81,,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,Improved Forest Mgmt,81,1.6224,81,1.6224,81,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224
Benin,Improved Forest Mgmt,81,1.6224,81,1.6224,81,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224
Bhutan,Improved Forest Mgmt,81,1.6704,81,1.6704,81,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704
Bolivia,Improved Forest Mgmt,81,1.6704,81,1.6704,81,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704,1.6704
Bosnia and Herzegovina,Improved Forest Mgmt,81,0,81,,81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Improved Forest Mgmt,81,1.6224,81,1.6224,81,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224,1.6224
